"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"3SMAJ5923B-TP";"3SMAJ5923B-TP";"DIOM5226X244N";"D5";"Zener Diodes 3W 8.2V";"";
"2";"4.7uF 50V X5R";"CAP0805";"0805";"C63, C64";"Capacitor";"";
"3";"4.7uF 50V X7R";"CAP1210";"1210";"C17, C18, C21";"Capacitor";"";
"1";"4.7uH";"L74437368047";"WE-LHMI";"L2";"";"";
"1";"43K";"RESISTOR0805";"0805";"R9";"Generic Resistor Package";"";
"1";"56K";"RESISTOR0805";"0805";"R50";"Generic Resistor Package";"";
"2";"5K1";"RESISTOR0805";"0805";"R55, R56";"Generic Resistor Package";"";
"1";"5K6";"RESISTOR0805";"0805";"R4";"Generic Resistor Package";"";
"1";"800R";"RESISTOR0805";"0805";"R57";"Generic Resistor Package";"";
"1";"91K";"RESISTOR0805";"0805";"R8";"Generic Resistor Package";"";
"1";"ABM3C-12.000MHZ-D4Y-T";"ABM3C-12.000MHZ-D4Y-T";"ABM3C16000MHZD4YT";"X1";"Abracon 12MHz Crystal +/-30ppm 4-SMD, No Lead 5 x 3 x 1.3mm";"";
"1";"AP63203";"AP63201WU-7";"SOT95P280X100-6N";"U11";"Switching Voltage Regulators DCDC Conv HV Buck TSOT26 T&R 3K";"";
"1";"AP64501SP-13";"AP64501SP-13";"SOIC127P600X163-9N";"U12";"Conv DC-DC 3.8V to 40V Synchronous Step Down Single-Out 0.8V to 39V 5A 8-Pin SO EP T/R";"";
"3";"BAV199";"BAV199";"SOT23";"D2, D3, D7";"DIODE";"";
"1";"DX07S016JA1R1500";"DX07S016JA1R1500";"JAE_DX07S016JA1R1500";"J1";"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole";"";
"1";"Display";"OLED_LCD";"OLED_LCD";"J6";"";"";
"6";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"FID1, FID2, FID3, FID4, FID5, FID6";"Fiducial Alignment Points";"";
"1";"FLEX CONNECTORES";"FLEX8";"FLEX8";"K1";"WR-FPC 1mm SMT Horiz. Bot. Contact Hinge type WR-FPC 1mm 08 pins Hinge type SMT Horizontal Bottom Contact";"";
"1";"IP2721";"IP2721";"SOP65P640X120-16N";"U10";"TYPEC/PD2.0/PD3.0 Physical Layer IC for USB TYPEC input Interfaces Working voltage: 3V~25V  Package: TSSOP16";"";
"3";"JUMPER-SMT_2_NO_NO-SILK";"JUMPER-SMT_2_NO_NO-SILK";"SMT-JUMPER_2_NO_NO-SILK";"FB_ADJ, USB_D+, USB_D-";"Normally open jumper";"";
"1";"LM4040C25FTA";"LM4040C25FTA";"SOT96P240X110-3N";"U8";"Voltage References 0.5% 2.5V Reference";"";
"1";"LTV816S";"LTV816S";"SMD4";"OP1";"OPTO COUPLER";"";
"1";"MAX9064EUK+T";"MAX9064EUK+T";"21-0057F_MXM";"U9";"";"";
"1";"MAX9938FEUK+T";"MAX9938FEUK+T";"SOT95P280X145-5N";"U4";"";"";
"1";"MCP4725";"MCP4725SOT-23";"SOT23-6";"U2";"MCP4725 DAC";"";
"1";"MMSZ5227B-7-F";"MMSZ5227B-7-F";"SOD3716X135N";"DZ1";"Diode Zener 3.6V 5% 500mW 2Pin SOD123 Diodes Inc MMSZ5227B-7-F Zener Diode, 3.6V 5% 500 mW SMT 2-Pin SOD-123";"";
"5";"MMZ2012Y202BT000";"RESISTOR0805-RES";"0805";"L3, L4, L5, L6, L7";"Resistor";"";
"1";"N.C";"CAP0805";"0805";"C52";"Capacitor";"";
"1";"N.C";"DSMC";"DO-214AB";"D6";"";"";
"8";"N.C";"RESISTOR0805";"0805";"R15, R16, R18, R30, R34, R45, R58, R60";"Generic Resistor Package";"";
"2";"N.C.";"CAP0805";"0805";"C19, C65";"Capacitor";"";
"1";"NRS4018T4R7MDGJ";"NRS4018T4R7MDGJ";"NRS4018T100MDGJ";"L1";"Inductor SMD wirewound 4.7uH";"";
"1";"PESD5V0U2BT,215";"PESD5V0U2BT,215";"SOT95P230X110-3N";"D4";"PESD5V0U2BT - Ultra low capacitance bidirectional double ESD protection diode";"";
"1";"PKMCS0909E4000-R1";"PKMCS0909E4000-R1";"PKMCS0909";"BZ1";"PKMCS0909E4000-R1";"";
"1";"RB060M-60TR";"3SMAJ5923B-TP";"DIOM5226X244N";"D8";"Zener Diodes 3W 8.2V";"";
"1";"ROTARTY_ENCODER";"ROTARTY_ENCODER";"ROTARY_ENC_PLAIN";"S1";"Simple no LED rotary encoder";"";
"1";"RP2040TR7";"RP2040TR7";"RP2040TR7";"U1";"ARM MCU, RP2040 Series Microcontrollers, ARM Cortex-M0+, 32 bit, 133 MHz, 16 MB, 56 Pins";"";
"1";"SMAJ24CA";"SMAJ24CA";"DIONM5127X229N";"D1";"ESD Suppressors / TVS Diodes 24volts 5uA 10.3 Amps Bi-Dir";"";
"1";"SMT-0540-S-R";"SMT-0540-S-R";"SMT0540SR";"LS1";"Speakers & Transducers SMD TRANSDUCER 3VP-P 100MA";"";
"2";"SN74AC14PWR";"7414";"TSSOP14";"U3, U6";"Hex schmitt trigger INVERTER";"";
"23";"TESTPAD_TPSQB1,27";"TESTPAD_TPSQB1,27";"TESTPAD_B1,27";"3V3MCU, EN_TPS54531, GND, GND_IN, IN+, ISENSE, N$41, N$51, N$59, OVC_ALARM, PEDAL+, PEDAL-, RUN, SCL, SDA, SEL, SWCLK, SWDIO, USB-D+, USB-D-, VBUS_SENSE, VOSEN, VOUT";"Test pad";"";
"1";"TPIC2810D";"TPIC2810D";"SO16";"U7";"";"";
"1";"W25Q64JVSSIQ";"W25Q64JVSSIQ";"SOIC127P790X216-8N";"U5";"64M-bit Serial Flash Memory with uniform 4KB sectors and Dual/Quad SPI";"";
